Bank_Name,City,State,Cert,Acquiring_Institution,Closing_Date,Estimated_Loss,Total_Assets,Total_Deposits
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",2015-07-10,1210000,26760000,25480000
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,2015-05-08,20647000,90034000,90007000
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,2015-02-27,700453000,5898515000,4097734000
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,2015-02-13,95942000,272311000,262652000
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",2015-01-23,4743000,54727000,53453000
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,2015-01-16,6329000,73804000,73199000
Northern Star Bank,Mankato,MN,34983,BankVista,2014-12-19,3946000,18794000,18221000
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",2014-11-07,2905000,80736000,76344000
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,2014-10-24,57681000,843118000,809638000
NBRS Financial,Rising Sun,MD,4862,Howard Bank,2014-10-17,19837000,155353000,151559000
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",2014-07-25,18412000,70286000,68722000
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,2014-07-18,38334000,173946000,166875000
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,2014-06-27,3734000,22816000,20855000
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",2014-06-20,5439000,81843000,66541000
Valley Bank,Moline,IL,10450,Great Southern Bank,2014-06-20,47807000,456442000,359953000
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",2014-05-30,10954000,140063000,111142000
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",2014-05-23,7224000,36484000,29538000
AztecAmerica Bank,Berwyn,IL,57866,Republic Bank of Chicago,2014-05-16,21715000,66309000,65031000
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,2014-04-25,22149000,49498000,49356000
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,2014-02-28,8956000,63453000,62472000
"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,2014-02-28,10940000,130305000,121704000
Syringa Bank,Boise,ID,34296,Sunwest Bank,2014-01-31,3487000,153361000,145813000
The Bank of Union,El Reno,OK,17967,BancFirst,2014-01-24,93335000,317172000,315843000
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,2014-01-17,1530000,53524000,51878000
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",2013-12-13,14203000,159257000,142640000
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,2013-10-30,5849000,24724000,24591000
The Community's Bank,Bridgeport,CT,57041,No Acquirer,2013-09-13,9211000,26368000,25715000
First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,2013-09-13,616574000,3085764000,2338335000
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",2013-08-23,15391000,202179000,196924000
Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",2013-08-23,130319000,386908000,377672000
Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,2013-08-09,13428000,43564000,40663000
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2013-08-02,24921000,247315000,243618000
Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",2013-06-07,33292000,437282000,373366000
1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,2013-06-06,5208000,20152000,19579000
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",2013-05-31,22789000,134024000,127590000
Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,2013-05-14,5425000,31550000,30822000
Sunrise Bank,Valdosta,GA,58185,Synovus Bank,2013-05-10,16185000,60793000,57775000
Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",2013-05-10,7943000,21880000,21246000
Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,2013-04-26,89606000,317288000,315326000
Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",2013-04-26,16490000,109642000,104709000
Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,2013-04-19,7920000,37471000,37067000
Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,2013-04-19,25231000,103960000,106348000
First Federal Bank,Lexington,KY,29594,Your Community Bank,2013-04-19,7767000,92982000,87196000
Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",2013-04-05,8263000,42125000,41728000
Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,2013-03-08,73446000,258840000,224108000
Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,2013-02-15,19576000,58422000,54202000
1st Regents Bank,Andover,MN,57157,First Minnesota Bank,2013-01-18,12229000,49626000,49147000
Westside Community Bank,University Place,WA,33997,Sunwest Bank,2013-01-11,22860000,91935000,91879000
Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,2012-12-14,13419000,42816000,41881000
Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",2012-11-16,39665000,124561000,108931000
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2012-11-02,74020000,225477000,223309000
Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2012-11-02,32458000,923959000,869440000
NOVA Bank,Berwyn,PA,27148,No Acquirer,2012-10-26,86885000,444710000,395248000
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,2012-10-19,12370000,65686000,64888000
GulfSouth Private Bank,Destin,FL,58073,SmartBank,2012-10-19,40510000,139391000,131579000
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,2012-10-19,29582000,186113000,173670000
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",2012-09-28,33841000,328422000,316877000
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,2012-09-14,39469000,282338000,245716000
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,2012-09-07,65213000,215867000,206809000
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,2012-08-03,23518000,83679000,73001000
Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,2012-07-27,49244000,206672000,204238000
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,2012-07-20,16848000,78771000,78876000
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,2012-07-20,36215000,209021000,182114000
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,2012-07-20,25335000,116890000,114748000
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,2012-07-20,86252000,190891000,171627000
Heartland Bank,Leawood,KS,1361,Metcalf Bank,2012-07-20,363000,96002000,89723000
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,2012-07-13,1396000,22341000,21809000
